study_accession	experiment_accession	experiment_title	fastq_ftp	submitted_ftp	sample_title
PRJNA392905	SRX2978860	NextSeq 500 sequencing; GSM2692181: T.ISP.Th#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799393/SRR5799393_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799393/SRR5799393_2.fastq.gz		T.ISP.Th#2
PRJNA392905	SRX2978861	NextSeq 500 sequencing; GSM2692182: T.4.Th#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799394/SRR5799394_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799394/SRR5799394_2.fastq.gz		T.4.Th#1
PRJNA392905	SRX2978862	NextSeq 500 sequencing; GSM2692183: T.4.Th#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799395/SRR5799395_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799395/SRR5799395_2.fastq.gz		T.4.Th#2
PRJNA392905	SRX2978863	NextSeq 500 sequencing; GSM2692184: T.8.Th#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799396/SRR5799396_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799396/SRR5799396_2.fastq.gz		T.8.Th#1
PRJNA392905	SRX2978864	NextSeq 500 sequencing; GSM2692185: T.8.Th#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799397/SRR5799397_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799397/SRR5799397_2.fastq.gz		T.8.Th#2
PRJNA392905	SRX2978865	NextSeq 500 sequencing; GSM2692186: T.4.Nve.Sp#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799398/SRR5799398_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799398/SRR5799398_2.fastq.gz		T.4.Nve.Sp#1
PRJNA392905	SRX2978866	NextSeq 500 sequencing; GSM2692187: T.4.Nve.Sp#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799399/SRR5799399_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799399/SRR5799399_2.fastq.gz		T.4.Nve.Sp#2
PRJNA392905	SRX2978867	NextSeq 500 sequencing; GSM2692188: T.8.Nve.Sp#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799400/SRR5799400_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799400/SRR5799400_2.fastq.gz		T.8.Nve.Sp#1
PRJNA392905	SRX2978868	NextSeq 500 sequencing; GSM2692189: T.4.Sp.aCD3+CD40.18hr#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799401/SRR5799401_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799401/SRR5799401_2.fastq.gz		T.4.Sp.aCD3+CD40.18hr#1
PRJNA392905	SRX2978869	NextSeq 500 sequencing; GSM2692190: T.4.Sp.aCD3+CD40.18hr#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799402/SRR5799402_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799402/SRR5799402_2.fastq.gz		T.4.Sp.aCD3+CD40.18hr#2
PRJNA392905	SRX2978870	NextSeq 500 sequencing; GSM2692191: Treg.4.FP3+.Nrplo.Co#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799403/SRR5799403_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799403/SRR5799403_2.fastq.gz		Treg.4.FP3+.Nrplo.Co#1
PRJNA392905	SRX2978871	NextSeq 500 sequencing; GSM2692192: Treg.4.FP3+.Nrplo.Co#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799404/SRR5799404_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799404/SRR5799404_2.fastq.gz		Treg.4.FP3+.Nrplo.Co#2
PRJNA392905	SRX2978872	NextSeq 500 sequencing; GSM2692193: GN.BM#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799405/SRR5799405_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799405/SRR5799405_2.fastq.gz		GN.BM#1
PRJNA392905	SRX2978873	NextSeq 500 sequencing; GSM2692194: GN.BM#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799406/SRR5799406_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799406/SRR5799406_2.fastq.gz		GN.BM#2
PRJNA392905	SRX2978874	NextSeq 500 sequencing; GSM2692195: GN.Sp#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799407/SRR5799407_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799407/SRR5799407_2.fastq.gz		GN.Sp#1
PRJNA392905	SRX2978875	NextSeq 500 sequencing; GSM2692196: GN.Sp#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799408/SRR5799408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799408/SRR5799408_2.fastq.gz		GN.Sp#2
PRJNA392905	SRX2978876	NextSeq 500 sequencing; GSM2692197: GN.Thio.PC#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799409/SRR5799409_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799409/SRR5799409_2.fastq.gz		GN.Thio.PC#1
PRJNA392905	SRX2978877	NextSeq 500 sequencing; GSM2692198: NK.27-11b+.Sp#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799410/SRR5799410_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799410/SRR5799410_2.fastq.gz		NK.27-11b+.Sp#1
PRJNA392905	SRX2978878	NextSeq 500 sequencing; GSM2692199: NK.27-11b+.Sp#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799411/SRR5799411_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799411/SRR5799411_2.fastq.gz		NK.27-11b+.Sp#2
PRJNA392905	SRX2978879	NextSeq 500 sequencing; GSM2692200: NK.27+11b+.Sp#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799412/SRR5799412_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799412/SRR5799412_2.fastq.gz		NK.27+11b+.Sp#1
PRJNA392905	SRX2978880	NextSeq 500 sequencing; GSM2692201: NK.27+11b+.Sp#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799413/SRR5799413_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799413/SRR5799413_2.fastq.gz		NK.27+11b+.Sp#2
PRJNA392905	SRX2978881	NextSeq 500 sequencing; GSM2692202: NK.27+11b-.Sp#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799414/SRR5799414_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799414/SRR5799414_2.fastq.gz		NK.27+11b-.Sp#1
PRJNA392905	SRX2978882	NextSeq 500 sequencing; GSM2692203: NK.27+11b-.Sp#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799415/SRR5799415_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799415/SRR5799415_2.fastq.gz		NK.27+11b-.Sp#2
PRJNA392905	SRX2978883	NextSeq 500 sequencing; GSM2692204: NK.27-11b+.BM#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799416/SRR5799416_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799416/SRR5799416_2.fastq.gz		NK.27-11b+.BM#1
PRJNA392905	SRX2978884	NextSeq 500 sequencing; GSM2692205: NK.27-11b+.BM#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799417/SRR5799417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799417/SRR5799417_2.fastq.gz		NK.27-11b+.BM#2
PRJNA392905	SRX2978885	NextSeq 500 sequencing; GSM2692206: NK.27+11b+.BM#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799418/SRR5799418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799418/SRR5799418_2.fastq.gz		NK.27+11b+.BM#1
PRJNA392905	SRX2978886	NextSeq 500 sequencing; GSM2692207: NK.27+11b+.BM#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799419/SRR5799419_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799419/SRR5799419_2.fastq.gz		NK.27+11b+.BM#2
PRJNA392905	SRX2978887	NextSeq 500 sequencing; GSM2692208: NK.27+11b-.BM#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799420/SRR5799420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799420/SRR5799420_2.fastq.gz		NK.27+11b-.BM#1
PRJNA392905	SRX2978888	NextSeq 500 sequencing; GSM2692209: NK.27+11b-.BM#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799421/SRR5799421_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799421/SRR5799421_2.fastq.gz		NK.27+11b-.BM#2
PRJNA392905	SRX2978889	NextSeq 500 sequencing; GSM2692210: Tgd.g2+d17.24a+.Th#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799422/SRR5799422_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799422/SRR5799422_2.fastq.gz		Tgd.g2+d17.24a+.Th#1
PRJNA392905	SRX2978890	NextSeq 500 sequencing; GSM2692211: Tgd.g2+d17.24a+.Th#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799423/SRR5799423_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799423/SRR5799423_2.fastq.gz		Tgd.g2+d17.24a+.Th#2
PRJNA392905	SRX2978891	NextSeq 500 sequencing; GSM2692212: Tgd.g2+d1.24a+.Th#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799424/SRR5799424_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799424/SRR5799424_2.fastq.gz		Tgd.g2+d1.24a+.Th#1
PRJNA392905	SRX2978892	NextSeq 500 sequencing; GSM2692213: Tgd.g2+d1.24a+.Th#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799425/SRR5799425_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799425/SRR5799425_2.fastq.gz		Tgd.g2+d1.24a+.Th#2
PRJNA392905	SRX2978893	NextSeq 500 sequencing; GSM2692214: Tgd.g1.1+d1.24a+.Th#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799426/SRR5799426_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799426/SRR5799426_2.fastq.gz		Tgd.g1.1+d1.24a+.Th#1
PRJNA392905	SRX2978894	NextSeq 500 sequencing; GSM2692215: Tgd.g1.1+d1.24a+.Th#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799427/SRR5799427_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799427/SRR5799427_2.fastq.gz		Tgd.g1.1+d1.24a+.Th#2
PRJNA392905	SRX2978895	NextSeq 500 sequencing; GSM2692216: Tgd.g2+d17.LN#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799428/SRR5799428_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799428/SRR5799428_2.fastq.gz		Tgd.g2+d17.LN#1
PRJNA392905	SRX2978896	NextSeq 500 sequencing; GSM2692217: Tgd.g2+d17.LN#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799429/SRR5799429_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799429/SRR5799429_2.fastq.gz		Tgd.g2+d17.LN#2
PRJNA392905	SRX2978897	NextSeq 500 sequencing; GSM2692218: Tgd.g2+d1.LN#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799430/SRR5799430_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799430/SRR5799430_2.fastq.gz		Tgd.g2+d1.LN#1
PRJNA392905	SRX2978898	NextSeq 500 sequencing; GSM2692219: Tgd.g2+d1.LN#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799431/SRR5799431_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799431/SRR5799431_2.fastq.gz		Tgd.g2+d1.LN#2
PRJNA392905	SRX2978899	NextSeq 500 sequencing; GSM2692220: Tgd.g1.1+d1.LN#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799432/SRR5799432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799432/SRR5799432_2.fastq.gz		Tgd.g1.1+d1.LN#1
PRJNA392905	SRX2978900	NextSeq 500 sequencing; GSM2692221: Tgd.g1.1+d1.LN#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799433/SRR5799433_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799433/SRR5799433_2.fastq.gz		Tgd.g1.1+d1.LN#2
PRJNA392905	SRX2978901	NextSeq 500 sequencing; GSM2692222: T8.TN.P14.Sp#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799434/SRR5799434_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799434/SRR5799434_2.fastq.gz		T8.TN.P14.Sp#1
PRJNA392905	SRX2978902	NextSeq 500 sequencing; GSM2692223: T8.TN.P14.Sp#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799435/SRR5799435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799435/SRR5799435_2.fastq.gz		T8.TN.P14.Sp#2
PRJNA392905	SRX2978903	NextSeq 500 sequencing; GSM2692224: T8.TE.LCMV.d7.Sp#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799436/SRR5799436_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799436/SRR5799436_2.fastq.gz		T8.TE.LCMV.d7.Sp#1
PRJNA392905	SRX2978904	NextSeq 500 sequencing; GSM2692225: T8.TE.LCMV.d7.Sp#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799437/SRR5799437_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799437/SRR5799437_2.fastq.gz		T8.TE.LCMV.d7.Sp#2
PRJNA392905	SRX2978905	NextSeq 500 sequencing; GSM2692226: T8.MP.LCMV.d7.Sp#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799438/SRR5799438_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799438/SRR5799438_2.fastq.gz		T8.MP.LCMV.d7.Sp#1
PRJNA392905	SRX2978906	NextSeq 500 sequencing; GSM2692227: T8.MP.LCMV.d7.Sp#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799439/SRR5799439_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799439/SRR5799439_2.fastq.gz		T8.MP.LCMV.d7.Sp#2
PRJNA392905	SRX2978907	NextSeq 500 sequencing; GSM2692228: T8.Tcm.LCMV.d180.Sp#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799440/SRR5799440_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799440/SRR5799440_2.fastq.gz		T8.Tcm.LCMV.d180.Sp#1
PRJNA392905	SRX2978908	NextSeq 500 sequencing; GSM2692229: T8.Tcm.LCMV.d180.Sp#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799441/SRR5799441_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799441/SRR5799441_2.fastq.gz		T8.Tcm.LCMV.d180.Sp#2
PRJNA392905	SRX2978909	NextSeq 500 sequencing; GSM2692230: T8.Tem.LCMV.d180.Sp#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799442/SRR5799442_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799442/SRR5799442_2.fastq.gz		T8.Tem.LCMV.d180.Sp#1
PRJNA392905	SRX2978910	NextSeq 500 sequencing; GSM2692231: T8.Tem.LCMV.d180.Sp#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799443/SRR5799443_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799443/SRR5799443_2.fastq.gz		T8.Tem.LCMV.d180.Sp#2
PRJNA392905	SRX2978911	NextSeq 500 sequencing; GSM2692232: T8.IEL.LCMV.d7.SI#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799444/SRR5799444_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/004/SRR5799444/SRR5799444_2.fastq.gz		T8.IEL.LCMV.d7.SI#1
PRJNA392905	SRX2978912	NextSeq 500 sequencing; GSM2692233: T8.IEL.LCMV.d7.SI#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799445/SRR5799445_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/005/SRR5799445/SRR5799445_2.fastq.gz		T8.IEL.LCMV.d7.SI#2
PRJNA392905	SRX2978913	NextSeq 500 sequencing; GSM2692234: Tgd.Sp#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799446/SRR5799446_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/006/SRR5799446/SRR5799446_2.fastq.gz		Tgd.Sp#1
PRJNA392905	SRX2978914	NextSeq 500 sequencing; GSM2692235: proB.CLP.BM#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799447/SRR5799447_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/007/SRR5799447/SRR5799447_2.fastq.gz		proB.CLP.BM#2
PRJNA392905	SRX2978915	NextSeq 500 sequencing; GSM2692236: proB.FrA.BM#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799448/SRR5799448_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/008/SRR5799448/SRR5799448_2.fastq.gz		proB.FrA.BM#1
PRJNA392905	SRX2978916	NextSeq 500 sequencing; GSM2692237: proB.FrA.BM#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799449/SRR5799449_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/009/SRR5799449/SRR5799449_2.fastq.gz		proB.FrA.BM#2
PRJNA392905	SRX2978917	NextSeq 500 sequencing; GSM2692238: proB.FrBC.BM#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799450/SRR5799450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/000/SRR5799450/SRR5799450_2.fastq.gz		proB.FrBC.BM#1
PRJNA392905	SRX2978918	NextSeq 500 sequencing; GSM2692239: proB.FrBC.BM#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799451/SRR5799451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/001/SRR5799451/SRR5799451_2.fastq.gz		proB.FrBC.BM#2
PRJNA392905	SRX2978919	NextSeq 500 sequencing; GSM2692240: preB.FrD.BM#1; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799452/SRR5799452_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/002/SRR5799452/SRR5799452_2.fastq.gz		preB.FrD.BM#1
PRJNA392905	SRX2978920	NextSeq 500 sequencing; GSM2692241: preB.FrD.BM#2; Mus musculus; ATAC-seq	ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799453/SRR5799453_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR579/003/SRR5799453/SRR5799453_2.fastq.gz		preB.FrD.BM#2
